CustomerName,Age,MaritalStatus,IncomeRange,Gender,TotalChildren,ChildrenAtHome,Education,Occupation,HomeOwner,Cars
Aaron Adams,42,0,50000,0,0,0,3,2,1,1
Aaron Alexander,40,1,50000,0,0,0,2,2,1,2
Aaron Allen,63,0,25000,0,2,1,2,1,1,2
Aaron Baker,56,1,50000,0,4,2,2,2,1,2
Aaron Bryant,72,0,75000,0,4,0,4,4,1,2
Aaron Butler,42,1,75000,0,0,0,3,5,1,2
Aaron Campbell,49,0,75000,0,0,0,5,5,1,1
Aaron Carter,42,0,50000,0,0,0,3,2,0,1
Aaron Chen,57,1,75000,0,4,3,4,5,1,0
Aaron Coleman,42,0,50000,0,0,0,3,2,1,1
Aaron Collins,56,0,150000,0,1,1,5,4,0,2
Aaron Diaz,47,1,100000,0,2,0,4,5,1,0
Aaron Edwards,53,1,150000,0,4,2,4,4,1,4
Aaron Evans,46,0,75000,0,4,0,5,5,0,0
Aaron Flores,53,0,75000,0,0,0,4,5,0,1
Aaron Foster,57,1,75000,0,2,0,5,5,1,1
Aaron Gonzales,45,1,75000,0,1,1,5,2,1,0
Aaron Gonzalez,43,1,50000,0,1,0,5,2,1,0
Aaron Green,72,1,50000,0,5,0,1,3,0,2
Aaron Green,72,1,50000,0,5,0,1,3,0,2
Aaron Griffin,61,0,25000,0,3,0,1,3,0,2
Aaron Hall,43,1,50000,0,1,0,5,2,1,0
Aaron Hayes,58,1,100000,0,1,0,3,2,1,1
Aaron Henderson,42,1,50000,0,3,3,3,3,1,2
Aaron Hernandez,40,0,50000,0,0,0,3,2,1,1
Aaron Hill,42,0,100000,0,0,0,4,5,1,3
Aaron Hughes,60,0,100000,0,3,0,3,5,1,2
Aaron Jai,48,0,75000,0,2,2,4,2,0,1
Aaron Jenkins,37,0,50000,0,0,0,1,3,0,2
Aaron King,57,1,75000,0,2,0,5,5,1,1
Aaron Kumar,46,1,75000,0,1,0,5,5,1,0
Aaron Lal,37,1,50000,0,0,0,2,2,0,2
Aaron Li,37,1,75000,0,0,0,3,2,0,2
Aaron McDonald,39,0,50000,0,0,0,1,3,0,2
Aaron Mitchell,50,1,100000,0,3,3,4,2,0,0
Aaron Nelson,53,0,75000,0,3,2,5,5,0,0
Aaron Patterson,46,1,50000,0,1,1,4,2,1,0
Aaron Perez,40,1,75000,0,0,0,3,2,0,2
